🌊	7960754
🌀	7948744
💣	7935737
🚀	7875338
☔	7731122
🍭	7696495
💑	7682329
🎬	7601371
👿	7563961
🐷	7562697
😽	7518681
💢	7485490
🎅	7342319
🌏	7320646
🎼	7219359
🐝	7114337
🎸	7077302
🏈	7071779
♦	6967928
🐼	6930637
💬	6929574
😼	6804453
⛄	6736748
🍌	6727743
😸	6641091
♠	6630882
🍉	6585219
🍓	6545191
🍆	6363306
🍴	6243190
🔝	6164096
📲	6007054
📱	5986599
⛅	5943822
🔸	5924993
👶	5893569
🙀	5890577
⚠	5886698
🐾	5832487
👣	5816200
🔮	5815336
⭕	5767271
🍺	5761258
🍷	5754505
🐰	5674956
📹	5619779
🚬	5607174
👾	5525102
🐢	5435828
🐍	5435487
🍑	5394844
🍒	5334265
🌌	5325232
😗	5321423
🐸	5317591
🍹	5282485
📕	5232340
🐣	5224029
🚨	5202693
🍬	5167005
🐻	5122544
🍔	5101853
🐯	5084449
🚗	5014866
🍦	4931289
🍍	4839193
⏩	4823903
💉	4816684
▪	4788143
🍫	4774504
🌾	4757753
🚮	4709729
🐙	4708750
🎃	4704049
📺	4695318
💊	4652861
😺	4636672
💿	4627084
🍸	4567000
🍰	4566035
🎮	4507207
™	4418083
🍇	4400507
🚫	4392046
⬇	4381078
🐳	4327204
🍪	4203132
📝	4198182
®	4196242
🐬	4179388
👨	4038830
🔊	4013419
🐥	4010091
3⃣	3975705
🐒	3972534
📚	3942686
💂	3885959
👹	3879745
💄	3867020
✂	3837191
📢	3829881
👧	3791602
🎓	3755243
🚦	3748411
🇫🇷	3726749
⚾	3723863
👩	3706893
🎆	3646069
🆘	3602819
😾	3573583
🛅	3573403
🌠	3549393
👠	3536369
👪	3453320
🏊	3447297
👙	3440867
🔑	3422031
🎯	3421709
✏	3393901
💧	3379744
🐘	3352351
🆒	3340789
🍎	3321434
🌱	3312643
💵	3277526
🍄	3267540
📖	3233311
📞	3232785
💇	3230797
🏡	3212695
💻	3209810
🔙	3175076
❓	3172280
💡	3142685
👦	3118669
🔐	3036054
🙎	2958910
🍊	2936726
🍗	2860044
🌅	2858722
🚘	2853338
🔵	2843417
🍧	2804151
🇮🇹	2803462
🐦	2779795
4⃣	2758888
↔	2754590
🌛	2701811
🇬🇧	2699002
👓	2670293
👵	2647945
🌑	2630318
🌃	2623475
👬	2615250
⚫	2612342
⚪	2590816
🐐	2582778
🐠	2558720
🏠	2552289
🌜	2533344
🔃	2523672
🌕	2517387
👟	2507824
🍋	2489793
✉	2486760
🎨	2476282
🍝	2461545
🛃	2451259
📍	2443569
↘	2436510
5⃣	2427658
🎐	2416620
🍼	2396207
↗	2390218
🍥	2386859
🌲	2375564
⬆	2308356
👃	2295989
👳	2291986
🐽	2284367
🎭	2284276
🐟	2276636
🐨	2215335
👂	2183816
✳	2169066
🚿	2155085
↙	2140851
🐛	2140076
🔹	2124647
🍜	2117553
🆙	2106373
👰	2100042
🎩	2098081
🐴	2081834
🐵	2075048
🚼	2067548
⌚	2066786
⛽	2061450
🆕	2048665
🔋	2020470
🏁	2014603
⏰	2011890
🎇	2009146
🐺	2006932
🎾	2003646
🌽	1998051
🗿	1997340
❕	1993782
🆓	1989949
🐮	1988334
👴	1969259
🔗	1953296
👗	1953016
🐔	1938994
📣	1926109
🐋	1863601
↖	1855241
🍱	1829170
🍳	1822525
🌳	1812104
🐉	1795690
🔜	1795452
🐹	1787987
📌	1786494
🔁	1772467
⛳	1768143
🏄	1767282
🐭	1730158
🌒	1704449
🅰	1696318
🚙	1688188
🈹	1678250
⁉	1675020
🌓	1657172
🔌	1656309
🔱	1636592
♋	1630798
👮	1614560
🍵	1604549
🍞	1596801
🌔	1586850
🎣	1586651
🚲	1565340
👤	1564384
🐤	1562466
🍚	1560405
🌘	1548557
⤵	1535829
↕	1531061
📻	1530508
🌗	1522436
🔘	1511524
🇪🇸	1502107
0⃣	1497190
🐑	1481004
🌖	1472543
👱	1469206
👺	1458759
🔒	1458609
🍏	1454774
🚩	1451863
🔄	1449082
➰	1448960
🐎	1445432
🍤	1435933
🌄	1431480
🌋	1429454
📥	1425936
💒	1416564
🍣	1405190
🍨	1404799
〰	1399322
⏪	1391072
🔺	1384440
✴	1384372
🐇	1383543
👲	1378278
🏪	1368216
➕	1367713
🐞	1356595
🔆	1346271
🔻	1346229
👥	1343821
🇩🇪	1340950
🐓	1330838
🛀	1302110
🐊	1289000
⛔	1287344
📛	1276702
⤴	1274186
🐕	1273554
🐈	1266427
🔨	1259361
🍖	1246801
🐚	1241007
⛵	1225729
6⃣	1224439
🅱	1212611
🐩	1205299
Ⓜ	1199909
❇	1190417
♒	1177267
🍲	1174867
👖	1172037
🍯	1163002
✒	1151959
🎹	1150170
🔓	1146814
🗽	1138737
💲	1135091
🏂	1132804
👔	1117968
💮	1117664
💠	1114598
♈	1101084
🚺	1096626
🐜	1085233
🍅	1073278
🌇	1070209
♏	1067500
🅾	1049181
⏳	1048765
7⃣	1041795
🐲	1041062
🐌	1032347
📀	1019212
🎲	1016828
👕	1016749
🎎	1013564
🎱	1010468
➖	1008006
♐	1001595
🚌	998528
🍮	992145
🐫	987470
🎌	986466
🚂	968002
🍛	967311
🏥	963699
🔷	956424
🇯🇵	954302
🎋	951396
🔔	949636
🌰	937867
🔶	937819
♊	937730
🍐	934438
♉	929647
♌	929050
🚪	924724
🚔	918026
📩	905282
🌐	900850
🎷	889133
〽	886510
⛪	882111
🕕	879281
🚴	875867
♓	872960
🍡	869535
🏢	869511
♑	866780
🚣	866576
👒	857994
🏩	854447
🗻	852975
👞	850662
🐪	849175
👜	847850
❎	838930
🏫	837658
🌂	835685
⌛	833546
👷	829012
🌆	828002
🐄	827602
🚽	818797
🎺	812284
🐖	807352
❔	797375
🔰	793036
🎻	789057
💳	781353
🆔	779877
🔛	778649
🎡	777200
㊙	775511
♎	761731
💈	759523
🎢	753567
♍	753107
🐀	746331
🏉	746265
🐏	745414
📅	744049
🎳	741017
🔲	738870
📴	732867
🗼	728299
🔼	718745
㊗	705518
👘	699610
👛	696923
🚢	689349
🇷🇺	688964
🕦	682507
🚓	670045
🚒	666857
🌉	666043
🃏	666038
📦	652169
🚖	651406
🔎	645507
🐅	644186
🏇	642988
📆	640743
8⃣	639729
🔍	634784
👢	634118
🔳	630900
9⃣	630673
🚑	628418
🐗	625701
🎒	618533
➿	618263
ℹ	608891
💷	608179
🐂	607294
🔚	604817
🆚	600999
🍙	600156
👡	595582
🅿	590312
⛺	580577
💺	578191
◾	573393
💼	570914
🚕	568852
🎪	567760
🔯	566893
🚹	565973
📰	563381
🏰	558107
🔦	554180
🌁	550966
🎍	543789
🎫	542932
🚁	533235
💽	532752
🚍	529019
⏫	526060
🏤	518092
🔟	517456
🍈	515396
📓	515014
▫	511718
🎏	506471
🍢	504903
🔕	502446
🎠	495984
🎿	490980
🕛	483686
🐡	483634
📈	483055
📶	481767
#⃣	480056
🚧	476297
◼	476241
💶	468389
📡	466001
👚	460419
📒	450702
🐆	448995
🍠	444283
🔅	436706
🏬	421819
🕒	419166
🚚	413112
🍶	412780
🚤	408697
🚃	407847
📼	400045
🇰🇷	398386
🕐	398350
🐃	388192
💴	386682
⏬	386154
🔽	383391
⬜	382109
🔇	381687
🎽	380014
♿	379281
🕑	374353
🏧	367925
📎	367762
🔭	361808
🎦	360298
🎑	359511
📘	357879
◻	351818
📮	348989
📧	339992
🐁	335987
🉐	335267
🚄	332098
🔩	328143
🆖	326677
🚾	324319
🏨	322938
📗	315210
🔂	314944
📬	314727
📉	311888
⛲	311096
🚜	310488
🚇	307727
📋	305675
🏮	299772
📵	298385
🚭	294735
🕓	294520
⬛	294113
🎰	292659
📜	287575
🛁	287146
🕔	286986
🚉	285543
🏦	279654
🍘	277324
🔧	275811
🈯	271413
📄	266430
🚛	265027
📊	257797
⛎	257712
🚷	253371
📳	250716
🕙	248013
🕘	247321
🇨🇳	246975
🚅	244559
🚐	242382
🚊	241350
🈳	235113
🕗	234384
🚥	228748
🚵	226548
🔬	221788
🏯	220139
🔖	219902
👝	217126
📑	216901
🆎	216705
🎴	210827
📃	210310
🕚	206626
📠	205584
💱	205293
🕖	204903
🔉	202140
◽	197016
💹	192645
🆑	190470
💾	186812
🏣	186383
🔈	184025
🗾	183081
🈺	180351
🀄	178321
📙	176932
🚻	175802
📨	175623
🈚	174434
🈶	174346
🈸	172571
📐	172431
🚋	170227
🈷	169586
🚎	169107
🔢	168825
📔	168447
🈲	165406
🈵	165169
📯	163466
🏭	161366
🚸	159349
🚆	157887
📏	157658
📟	152125
🉑	146713
🈴	145079
🔏	137577
🕜	133788
🈂	132816
📤	128190
🔀	126940
📫	126752
🕤	126004
🚈	125416
🚏	124534
📂	122448
📁	118101
🚰	116975
📇	115057
🕝	105538
🕧	104555
🚝	104410
🕥	98731
🔤	97720
📪	93855
🕟	91382
🚞	87904
🚯	87343
🕞	86741
➗	84128
🕢	83384
🕠	82442
🔠	80239
📭	73619
🔣	70624
🕣	69744
🚡	68903
🕡	63384
🔡	62675
🚠	55815
🈁	55037
🛂	51727
🚱	47636
🚟	44234
🛄	42244
🚳	42224
