Admission Tickets	U+1F39F
Blossoming Flower	U+1F33C
Blowfish	U+1F421
Pufferfish	U+1F421
Tetraodontidae	U+1F421
Toadfish	U+1F421
Fugu	U+1F421
Blue Book	U+1F4D8
Blue Heart	U+1F499
Boar	U+1F417
Wild Boar	U+1F417
Wild Pig	U+1F417
Bomb	U+1F4A3
Bookmark Tabs	U+1F4D1
Bookmark	U+1F516
Tag	U+1F516
Price Tag	U+1F516
Books	U+1F4DA
Pile Of Books	U+1F4DA
Stack Of Books	U+1F4DA
Bottle With Popping Cork	U+1F37E
Champagne	U+1F37E
Sparkling Wine	U+1F37E
Celebration	U+1F37E
Bouquet	U+1F490
Bouquet Of Flowers	U+1F490
Bow and Arrow	U+1F3F9
Archery	U+1F3F9
Bowling	U+1F3B3
Ten Pin Bowling	U+1F3B3
Skittles	U+1F3B3
Pins	U+1F3B3
Bowling Ball	U+1F3B3
Boy	U+1F466
Bread	U+1F35E
Loaf Of Bread	U+1F35E
Bride With Veil	U+1F470
Wedding	U+1F470
Marriage	U+1F470
Bridge at Night	U+1F309
Golden Gate Bridge	U+1F309
Bridge	U+1F309
Briefcase	U+1F4BC
Suitcase	U+1F4BC
Broken Heart	U+1F494
Breaking Heart	U+1F494
Heart Broken	U+1F494
Brokenhearted	U+1F494
Bug	U+1F41B
Caterpillar	U+1F41B
Centipede	U+1F41B
Building Construction	U+1F3D7
Burrito	U+1F32F
Wrap	U+1F32F
Bus Stop	U+1F68F
Pepsi	U+1F68F
Bus	U+1F68C
School Bus	U+1F68C
Bust in Silhouette	U+1F464
User	U+1F464
Silhouette	U+1F464
Shadow	U+1F464
Busts in Silhouette	U+1F465
Users	U+1F465
Silhouettes	U+1F465
Shadows	U+1F465
Butterfly	U+1F98B
Cactus	U+1F335
Desert	U+1F335
Wild West	U+1F335
Calendar	U+1F4C5
July 17	U+1F4C5
World Emoji Day	U+1F4C5
Call Me Hand	U+1F919
Phone Hand	U+1F919
Shaka	U+1F919
Camera With Flash	U+1F4F8
Camera	U+1F4F7
Digital Camera	U+1F4F7
Camping	U+1F3D5
Campsite	U+1F3D5
Cancer	U+264B
Candle	U+1F56F
Candy	U+1F36C
Sweet	U+1F36C
Lolly	U+1F36C
Capricorn	U+2651
Card Index Dividers	U+1F5C2
Card Index	U+1F4C7
Index Card	U+1F4C7
System Card	U+1F4C7
Rolodex	U+1F4C7
Carousel Horse	U+1F3A0
Merry Go Round	U+1F3A0
Fairground	U+1F3A0
Carnival	U+1F3A0
Carrot	U+1F955
Cat Face With Tears of Joy	U+1F639
Happy Tears Cat	U+1F639
Laughing Cat	U+1F639
Cat Face With Wry Smile	U+1F63C
Smirking Cat	U+1F63C
Cat Face	U+1F431
Kitten	U+1F431
3	U+1F431
Kitty	U+1F431
Cat	U+1F408
Feline	U+1F408
Housecat	U+1F408
Domestic Cat	U+1F408
Cheering Megaphone	U+1F4E3
Megaphone	U+1F4E3
Cheese Wedge	U+1F9C0
Cheese	U+1F9C0
Chequered Flag	U+1F3C1
Checkered Flag	U+1F3C1
Racing Flag	U+1F3C1
Grid Girl	U+1F3C1
Cherries	U+1F352
Cherry	U+1F352
Wild Cherry	U+1F352
Cherry Blossom	U+1F338
Pink Flower	U+1F338
Sakura	U+1F338
Chestnut	U+1F330
Nut	U+1F330
Acorn	U+1F330
Chicken	U+1F414
Hen	U+1F414
Turkey	U+1F414
Children Crossing	U+1F6B8
School Crossing	U+1F6B8
Kids Crossing	U+1F6B8
Chipmunk	U+1F43F
Squirrel	U+1F43F
Chocolate Bar	U+1F36B
Block Of Chocolate	U+1F36B
Christmas Tree	U+1F384
Christmas	U+1F384
Xmas Tree	U+1F384
Church	U+26EA
Church Building	U+26EA
Cross	U+26EA
Cinema	U+1F3A6
Movies	U+1F3A6
Cinema Screen	U+1F3A6
Circled Ideograph Advantage	U+1F250
得	U+1F250
Acquire	U+1F250
Circled Latin Capital Letter M	U+24C2
Metro	U+24C2
Circled M	U+24C2
Circus Tent	U+1F3AA
Circus	U+1F3AA
Big Top	U+1F3AA
Cityscape at Dusk	U+1F306
Dusk City	U+1F306
Orange Sky City	U+1F306
Cityscape	U+1F3D9
Clapper Board	U+1F3AC
Clapboard	U+1F3AC
Film Slate	U+1F3AC
Director	U+1F3AC
Clapping Hands Sign	U+1F44F
Applause	U+1F44F
Clapping	U+1F44F
Clap	U+1F44F
Round Of Applause	U+1F44F
Golf Clap	U+1F44F
Classical Building	U+1F3DB
Clinking Beer Mugs	U+1F37B
Cheers	U+1F37B
Beers	U+1F37B
Clinking Glasses	U+1F942
Champagne Glasses	U+1F942
Cheers	U+1F942
Celebration	U+1F942
Clipboard	U+1F4CB
Clock Face Eight O'Clock	U+1F557
Clock Face Eleven O'Clock	U+1F55A
Clock Face Five O'Clock	U+1F554
Clock Face Five-Thirty	U+1F560
Clock Face Four O'Clock	U+1F553
Clock Face Four-Thirty	U+1F55F
Clock Face Nine O'Clock	U+1F558
Clock Face One O'Clock	U+1F550
Clock Face One-Thirty	U+1F55C
Clock Face Seven O'Clock	U+1F556
Clock Face Six O'Clock	U+1F555
Clock Face Six-Thirty	U+1F561
Clock Face Ten O'Clock	U+1F559
Clock Face Ten-Thirty	U+1F565
Clock Face Three O'Clock	U+1F552
Clock Face Three-Thirty	U+1F55E
Clock Face Twelve O'Clock	U+1F55B
Clock Face Two O'Clock	U+1F551
Clock Face Two-Thirty	U+1F55D
Clockwise Downwards and Upwards Open Circle Arrows	U+1F503
Clockwise Rightwards and Leftwards Open Circle Arrows With Circled One Overlay	U+1F502
Loop Once Symbol	U+1F502
Circle Arrows With Number 1	U+1F502
Clockwise Rightwards and Leftwards Open Circle Arrows	U+1F501
Loop Symbol	U+1F501
Closed Book	U+1F4D5
Red Book	U+1F4D5
Closed Lock With Key	U+1F510
Lock And Key	U+1F510
Closed Mailbox With Lowered Flag	U+1F4EA
Closed Mailbox With Raised Flag	U+1F4EB
Closed Umbrella	U+1F302
Pink Umbrella	U+1F302
Collapsed Umbrella	U+1F302
Cloud With Lightning	U+1F329
Cloud With Rain	U+1F327
Cloud With Snow	U+1F328
Cloud With Tornado	U+1F32A
Cloud	U+2601
Cloudy	U+2601
Overcast	U+2601
Clown Face	U+1F921
Scary Clown	U+1F921
Cocktail Glass	U+1F378
Cocktail	U+1F378
Martini	U+1F378
Martini Glass	U+1F378
Coffin	U+26B0
Funeral	U+26B0
Casket	U+26B0
Collision Symbol	U+1F4A5
Red Spark	U+1F4A5
Impact	U+1F4A5
Explode	U+1F4A5
Bang	U+1F4A5
Comet	U+2604
Light Beam	U+2604
Blue Beam	U+2604
Confetti Ball	U+1F38A
Confetti	U+1F38A
Confounded Face	U+1F616
Quivering Mouth	U+1F616
Scrunched Face	U+1F616
Confused Face	U+1F615
Nonplussed	U+1F615
Puzzled	U+1F615
S	U+1F615
Construction Sign	U+1F6A7
Roadwork	U+1F6A7
Roadwork Sign	U+1F6A7
Black And Yellow Striped Sign	U+1F6A7
Construction Worker	U+1F477
Face With Hat	U+1F477
HardHat	U+1F477
Builder	U+1F477
Safety Helmet	U+1F477
Control Knobs	U+1F39B
Cooked Rice	U+1F35A
Bowl Of Rice	U+1F35A
Steamed Rice	U+1F35A
Boiled Rice	U+1F35A
Rice	U+1F35A
Cookie	U+1F36A
Chocolate Cookie	U+1F36A
Biscuit	U+1F36A
Cooking	U+1F373
Fried Egg	U+1F373
Frying Pan	U+1F373
Breakfast	U+1F373
Copyright Sign	U+A9
Couch and Lamp	U+1F6CB
Couch	U+1F6CB
Lounge	U+1F6CB
Couple With Heart	U+1F491
Loving Couple	U+1F491
Couple In Love	U+1F491
Cow Face	U+1F42E
Cow	U+1F42E
Happy Cow	U+1F42E
Cow	U+1F404
Dairy Cow	U+1F404
Crab	U+1F980
Crab Cancer	U+1F980
Red Crab	U+1F980
Credit Card	U+1F4B3
VISA Card	U+1F4B3
Mastercard	U+1F4B3
AMEX	U+1F4B3
Diners Club	U+1F4B3
Crescent Moon	U+1F319
Cricket Bat and Ball	U+1F3CF
Cricket	U+1F3CF
Crocodile	U+1F40A
Alligator	U+1F40A
Croc	U+1F40A
Croissant	U+1F950
Cross Mark	U+274C
Cross	U+274C
X	U+274C
Crossed Flags	U+1F38C
Two Flags	U+1F38C
Crossed Swords	U+2694
Crown	U+1F451
Royal	U+1F451
King	U+1F451
Queen	U+1F451
Crying Cat Face	U+1F63F
Crying Cat	U+1F63F
Sad Cat	U+1F63F
Crying Face	U+1F622
Crying	U+1F622
Tear	U+1F622
Crystal Ball	U+1F52E
Purple Crystal	U+1F52E
Fortune Teller	U+1F52E
Clairvoyant	U+1F52E
Gypsy	U+1F52E
Psychic	U+1F52E
Shew Stone	U+1F52E
Cucumber	U+1F952
Pickle	U+1F952
Gherkin	U+1F952
Curly Loop	U+27B0
Curling Loop	U+27B0
Loop	U+27B0
Currency Exchange	U+1F4B1
Curry and Rice	U+1F35B
Curry	U+1F35B
Indian Food	U+1F35B
Custard	U+1F36E
Creme Caramel	U+1F36E
Flan	U+1F36E
Dessert	U+1F36E
Pudding	U+1F36E
Customs	U+1F6C3
Cyclone	U+1F300
Tornado	U+1F300
Hurricane	U+1F300
Spiral	U+1F300
Swirl	U+1F300
Dagger Knife	U+1F5E1
Knife Weapon	U+1F5E1
Dancer	U+1F483
Dancing	U+1F483
Salsa Dancer	U+1F483
Red Dress Woman	U+1F483
Dango	U+1F361
Dessert Stick	U+1F361
Pink White Green Balls	U+1F361
Dark Sunglasses	U+1F576
Dash Symbol	U+1F4A8
Steam	U+1F4A8
Wind	U+1F4A8
Gust of Wind	U+1F4A8
Fart	U+1F4A8
Fast	U+1F4A8
Deciduous Tree	U+1F333
Rounded Tree	U+1F333
Delivery Truck	U+1F69A
Department Store	U+1F3EC
Shops	U+1F3EC
Shopping Center	U+1F3EC
Derelict House Building	U+1F3DA
Old House	U+1F3DA
Abandoned House	U+1F3DA
Desert Island	U+1F3DD
Desert	U+1F3DC
Desktop Computer	U+1F5A5
PC Tower	U+1F5A5
iMac	U+1F5A5
Diamond Shape With a Dot Inside	U+1F4A0
Diamond	U+1F4A0
Kawaii	U+1F4A0
Cuteness	U+1F4A0
Disappointed but Relieved Face	U+1F625
Eyebrow Sweat	U+1F625
Disappointed Face	U+1F61E
Sad	U+1F61E
Sadface	U+1F61E
Dizzy Face	U+1F635
Cross Eyes Face	U+1F635
Spiral Eyes Face	U+1F635
Dizzy Symbol	U+1F4AB
Dizzy	U+1F4AB
Circle And Star	U+1F4AB
Do Not Litter Symbol	U+1F6AF
Dog Face	U+1F436
Dog	U+1F436
Puppy	U+1F436
Dog	U+1F415
Japanese Akita	U+1F415
Doge	U+1F415
Door	U+1F6AA
Front Door	U+1F6AA
Doorway	U+1F6AA
Double Curly Loop	U+27BF
Voicemail	U+27BF
Double Curling Loop	U+27BF
Double Exclamation Mark	U+203C
Doughnut	U+1F369
Donut	U+1F369
Dove of Peace	U+1F54A
Down-Pointing Red Triangle	U+1F53B
Down-Pointing Small Red Triangle	U+1F53D
Down Triangle	U+1F53D
Downwards Black Arrow	U+2B07
Down Arrow	U+2B07
Arrow Pointing Down	U+2B07
Dragon Face	U+1F432
Dragon Head	U+1F432
Dragon	U+1F409
Dress	U+1F457
Gown	U+1F457
Skirt	U+1F457
Dromedary Camel	U+1F42A
Camel	U+1F42A
One Bump Camel	U+1F42A
Single Bump Camel	U+1F42A
Arabian Camel	U+1F42A
Indian Camel	U+1F42A
Drooling Face	U+1F924
Drool	U+1F924
Droplet	U+1F4A7
Water Drop	U+1F4A7
Water	U+1F4A7
Drum With Drumsticks	U+1F93A
Duck	U+1F986
DVD	U+1F4C0
DVD Video	U+1F4C0
DVD ROM	U+1F4C0
E-Mail Symbol	U+1F4E7
Email	U+1F4E7
Eagle	U+1F985
Bald Eagle	U+1F985
Ear of Maize	U+1F33D
Corn	U+1F33D
Corn On The Cob	U+1F33D
Ear of Rice	U+1F33E
Crop	U+1F33E
Farming	U+1F33E
Wheat	U+1F33E
Ear	U+1F442
Ears	U+1F442
Listening	U+1F442
Hearing	U+1F442
Earth Globe Americas	U+1F30E
World	U+1F30E
Globe	U+1F30E
Planet	U+1F30E
Earth	U+1F30E
Earth Globe Asia-Australia	U+1F30F
World	U+1F30F
Globe	U+1F30F
Planet	U+1F30F
Earth	U+1F30F
Earth Globe Europe-Africa	U+1F30D
World	U+1F30D
Globe	U+1F30D
Planet	U+1F30D
Earth	U+1F30D
Eight Pointed Black Star	U+2734
Orange Star	U+2734
Eight Spoked Asterisk	U+2733
Eject Symbol	U+23CF
Electric Light Bulb	U+1F4A1
Light Bulb	U+1F4A1
Idea	U+1F4A1
Electric Plug	U+1F50C
Power Plug	U+1F50C
Power Cable	U+1F50C
AC Adaptor	U+1F50C
Electric Torch	U+1F526
Torch	U+1F526
Flashlight	U+1F526
Elephant	U+1F418
End With Leftwards Arrow Above	U+1F51A
End	U+1F51A
Envelope With Downwards Arrow Above	U+1F4E9
Down Arrow Envelope	U+1F4E9
Insert In Envelope	U+1F4E9
Envelope	U+2709
Letter	U+2709
European Castle	U+1F3F0
Turrets	U+1F3F0
Castle	U+1F3F0
European Post Office	U+1F3E4
Post Office	U+1F3E4
Evergreen Tree	U+1F332
Pine Tree	U+1F332
Tree	U+1F332
Exclamation Question Mark	U+2049
Expressionless Face	U+1F611
Robot Face	U+1F611
Face With Straight Mouth	U+1F611
Extraterrestrial Alien	U+1F47D
Alien	U+1F47D
ET	U+1F47D
Eye	U+1F441
Single Eye	U+1F441
Eyeglasses	U+1F453
Glasses	U+1F453
Eyes	U+1F440
Seeing	U+1F440
Eyesight	U+1F440
Eyeballs	U+1F440
Shifty Eyes	U+1F440
Wide Eyes	U+1F440
Face Massage	U+1F486
Massaging	U+1F486
Head Massage	U+1F486
Face Palm	U+1F926
Facepalm	U+1F926
Hitting Head	U+1F926
SMH	U+1F926
Face Savouring Delicious Food	U+1F60B
Goofy	U+1F60B
Hungry	U+1F60B
Face Screaming in Fear	U+1F631
Home Alone	U+1F631
Scream	U+1F631
Screaming Face	U+1F631
Face Throwing a Kiss	U+1F618
Blowing Kiss	U+1F618
Blow A Kiss	U+1F618
Kissing	U+1F618
Face With Cold Sweat	U+1F613
Hard Work	U+1F613
Sad Sweat Face	U+1F613
Face With Cowboy Hat	U+1F920
Cowboy	U+1F920
Face With Head-Bandage	U+1F915
Injured	U+1F915
Bandaged Head	U+1F915
Clumsy	U+1F915
Face With Look of Triumph	U+1F624
Frustrated	U+1F624
Steaming	U+1F624
Mad Face	U+1F624
Airing of Grievances	U+1F624
Face With Medical Mask	U+1F637
Surgical Mask	U+1F637
Sick	U+1F637
Doctor	U+1F637
Mask Face	U+1F637
SARS	U+1F637
Bird Flu	U+1F637
Face With No Good Gesture	U+1F645
No	U+1F645
X Arms	U+1F645
No Deal	U+1F645
Face With OK Gesture	U+1F646
Ballerina	U+1F646
Hands On Head	U+1F646
Face With Open Mouth and Cold Sweat	U+1F630
Blue Face	U+1F630
Nervous Face	U+1F630
Concerned Face	U+1F630
Face With Open Mouth	U+1F62E
Open Mouth	U+1F62E
Face With Rolling Eyes	U+1F644
Eye Roll	U+1F644
Face With Stuck-Out Tongue and Tightly-Closed Eyes	U+1F61D
Tongue Out	U+1F61D
Face With Stuck-Out Tongue and Winking Eye	U+1F61C
Crazy	U+1F61C
Crazy Face	U+1F61C
Face With Stuck-Out Tongue	U+1F61B
TongueOut	U+1F61B
Cheeky	U+1F61B
Tongue Face	U+1F61B
Face With Tears of Joy	U+1F602
Laughing	U+1F602
Laughing Crying	U+1F602
Laughing Tears	U+1F602
LOL	U+1F602
Face With Thermometer	U+1F912
Sick	U+1F912
Ill	U+1F912
Face Without Mouth	U+1F636
Silent	U+1F636
Silence	U+1F636
Blank Face	U+1F636
Mouthless	U+1F636
Fallen Leaf	U+1F342
Fall Leaves	U+1F342
Autumn Leaves	U+1F342
Brown Leaves	U+1F342
Family	U+1F46A
Parents With Child	U+1F46A
Nuclear Family	U+1F46A
Family With Boy and Girl	U+1F46A
Father Christmas	U+1F385
Santa	U+1F385
Santa Claus	U+1F385
Christmas	U+1F385
Fax Machine	U+1F4E0
Fax	U+1F4E0
Facsimile	U+1F4E0
Fearful Face	U+1F628
Scared	U+1F628
Surprised	U+1F628
Fencer	U+1F961
Ferris Wheel	U+1F3A1
Observation Wheel	U+1F3A1
Big Wheel	U+1F3A1
Fairground	U+1F3A1
Field Hockey Stick and Ball	U+1F3D1
Hockey	U+1F3D1
Field Hockey	U+1F3D1
Film Frames	U+1F39E
Film Projector	U+1F4FD
Fire Engine	U+1F692
Fire Truck	U+1F692
Fire Department	U+1F692
Fire	U+1F525
Flame	U+1F525
Hot	U+1F525
Snapstreak	U+1F525
Firework Sparkler	U+1F387
Fireworks	U+1F386
Firework	U+1F386
Explosion	U+1F386
First Quarter Moon Symbol	U+1F313
First Quarter Moon With Face	U+1F31B
Fish Cake With Swirl Design	U+1F365
Fishcake	U+1F365
Narutomaki	U+1F365
Pink Swirl	U+1F365
Fish	U+1F41F
Freshwater Fish	U+1F41F
Fishing Pole and Fish	U+1F3A3
Fishing	U+1F3A3
Fishing Rod	U+1F3A3
Fisted Hand Sign	U+1F44A
Fist Bump	U+1F44A
Punch	U+1F44A
Bro Fist  Brofist	U+1F44A
Flag in Hole	U+26F3
Golf	U+26F3
Golf Flag	U+26F3
Fleur-De-Lis	U+269C
Flexed Biceps	U+1F4AA
Strong	U+1F4AA
Muscle	U+1F4AA
Flexing Arm Muscles	U+1F4AA
Feats of Strength	U+1F4AA
Flower Playing Cards	U+1F3B4
Hanafuda	U+1F3B4
Hwatu	U+1F3B4
Playing Cards	U+1F3B4
Deck Of Cards	U+1F3B4
Flushed Face	U+1F633
Blushing Face	U+1F633
Embarrassed	U+1F633
Shame	U+1F633
Fog	U+1F32B
Foggy	U+1F301
Fog	U+1F301
Foggy City	U+1F301
Fog Bridge	U+1F301
Footprints	U+1F463
Feet	U+1F463
Footsteps	U+1F463
Fork and Knife With Plate	U+1F37D
Fork and Knife	U+1F374
Knife And Fork	U+1F374
Cutlery	U+1F374
Fountain	U+26F2
Water Fountain	U+26F2
Water Feature	U+26F2
Park	U+26F2
Four Leaf Clover	U+1F340
Lucky	U+1F340
Clover	U+1F340
Ireland	U+1F340
Fox Face	U+1F98A
Fox	U+1F98A
Frame With Picture	U+1F5BC
Gallery	U+1F5BC
Picture Frame	U+1F5BC
Painting	U+1F5BC
French Fries	U+1F35F
McDonalds Fries	U+1F35F
Fries	U+1F35F
Fried Shrimp	U+1F364
Shrimp	U+1F364
Prawn	U+1F364
Seafood	U+1F364
Frog Face	U+1F438
Frog	U+1F438
Kermit	U+1F438
Front-Facing Baby Chick	U+1F425
Baby Chick	U+1F425
Frowning Face With Open Mouth	U+1F626
Yawning	U+1F626
Fuel Pump	U+26FD
Gas Pump	U+26FD
Petrol Pump	U+26FD
Full Moon Symbol	U+1F315
Full Moon With Face	U+1F31D
Moonface	U+1F31D
Smiling Moon	U+1F31D
Smiley Moon	U+1F31D
Funeral Urn	U+26B1
Game Die	U+1F3B2
Dice	U+1F3B2
Gem Stone	U+1F48E
Diamond	U+1F48E
Gem	U+1F48E
Gemini	U+264A
Ghost	U+1F47B
Halloween	U+1F47B
Ghoul	U+1F47B
Girl	U+1F467
Globe With Meridians	U+1F310
Planet	U+1F310
Earth	U+1F310
WWW	U+1F310
World Wide Web	U+1F310
Glowing Star	U+1F31F
Gold Star	U+1F31F
Shining Star	U+1F31F
Exploding Star	U+1F31F
Goat	U+1F410
Billy Goat	U+1F410
Golfer	U+1F3CC
Golf	U+1F3CC
Golf Club	U+1F3CC
Grapes	U+1F347
Grape	U+1F347
Green Apple	U+1F34F
Granny Smith Apple	U+1F34F
Golden Delicious Apple	U+1F34F
Grevenstein Apple	U+1F34F
Green Book	U+1F4D7
Green Heart	U+1F49A
Jealous Heart	U+1F49A
Green Salad	U+1F957
Grimacing Face	U+1F62C
Foot In Mouth	U+1F62C
Eek	U+1F62C
Nervous	U+1F62C
Awkward	U+1F62C
Snapchat Mutual 1 Best Friend	U+1F62C
Grinning Cat Face With Smiling Eyes	U+1F638
Grinning Cat	U+1F638
Happy Cat	U+1F638
Grinning Face With Smiling Eyes	U+1F601
Frustrated	U+1F601
Freezing	U+1F601
Cold	U+1F601
Grinning Face	U+1F600
Smiley Face	U+1F600
Happy Face	U+1F600
Growing Heart	U+1F497
Multiple Heart	U+1F497
Triple Heart	U+1F497
Guardsman	U+1F482
British Guardsman	U+1F482
Foot Guard	U+1F482
Guitar	U+1F3B8
Electric Guitar	U+1F3B8
Acoustic Guitar	U+1F3B8
Bass Guitar	U+1F3B8
Haircut	U+1F487
Cutting Hair	U+1F487
Hairdresser	U+1F487
Hamburger	U+1F354
Cheeseburger	U+1F354
Burger	U+1F354
Hammer and Pick	U+2692
Hammer and Wrench	U+1F6E0
Hammer	U+1F528
Tool	U+1F528
Claw Hammer	U+1F528
Handyman	U+1F528
Hamster Face	U+1F439
Hamster	U+1F439
